check11,[check11] Avoid the use of the root account - iam [High]
check38,[check38] Ensure a log metric filter and alarm exist for S3 bucket policy changes - s3 [Medium]
check39,[check39] Ensure a log metric filter and alarm exist for AWS Config configuration changes - configservice [Medium]
check41,[check41] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to port 22 - ec2 [High]
check42,[check42] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to port 3389 - ec2 [High]
check43,[check43] Ensure the default security group of every VPC restricts all traffic - ec2 [High]
check44,[check44] Ensure routing tables for VPC peering are "least access" - vpc [Medium]
check45,[check45] Ensure no Network ACLs allow ingress from 0.0.0.0/0 to SSH port 22 - ec2 [High]
check46,[check46] Ensure no Network ACLs allow ingress from 0.0.0.0/0 to Microsoft RDP port 3389 - ec2 [High]
check719,[check7195] Ensure CodeArtifact internal packages do not allow external public source publishing. - codeartifact [Critical]
extra71,[extra71] Ensure users of groups with AdministratorAccess policy have MFA tokens enabled - iam [High]
extra710,[extra710] Check for internet facing EC2 Instances - ec2 [Medium]
extra7100,[extra7100] Ensure that no custom IAM policies exist which allow permissive role assumption (e.g. sts:AssumeRole on *) - iam [Critical]
extra7101,[extra7101] Check if Amazon Elasticsearch Service (ES) domains have audit logging enabled - es [Low]
extra7102,[extra7102] Check if any of the Elastic or Public IP are in Shodan (requires Shodan API KEY) - ec2 [High]
extra7103,[extra7103] Check if Amazon SageMaker Notebook instances have root access disabled - sagemaker [Medium]
extra7104,[extra7104] Check if Amazon SageMaker Notebook instances have VPC settings configured - sagemaker [Medium]
extra7105,[extra7105] Check if Amazon SageMaker Models have network isolation enabled - sagemaker [Medium]
extra7106,[extra7106] Check if Amazon SageMaker Models have VPC settings configured - sagemaker [Medium]
extra7107,[extra7107] Check if Amazon SageMaker Training jobs have intercontainer encryption enabled - sagemaker [Medium]
extra7108,[extra7108] Check if Amazon SageMaker Training jobs have volume and output with KMS encryption enabled - sagemaker [Medium]
extra7109,[extra7109] Check if Amazon SageMaker Training jobs have network isolation enabled - sagemaker [Medium]
extra711,[extra711] Check for Publicly Accessible Redshift Clusters - redshift [High]
extra7110,[extra7110] Check if Amazon SageMaker Training job have VPC settings configured. - sagemaker [Medium]
extra7111,[extra7111] Check if Amazon SageMaker Notebook instances have direct internet access - sagemaker [Medium]
extra7112,[extra7112] Check if Amazon SageMaker Notebook instances have data encryption enabled - sagemaker [Medium]
extra7113,[extra7113] Check if RDS instances have deletion protection enabled  - rds [Medium]
extra7114,[extra7114] Check if Glue development endpoints have S3 encryption enabled. - glue [Medium]
extra7115,[extra7115] Check if Glue database connection has SSL connection enabled. - glue [Medium]
extra7116,[extra7116] Check if Glue data catalog settings have metadata encryption enabled. - glue [Medium]
extra7117,[extra7117] Check if Glue data catalog settings have encrypt connection password enabled. - glue [Medium]
extra7118,[extra7118] Check if Glue ETL Jobs have S3 encryption enabled. - glue [Medium]
extra7119,[extra7119] Check if Glue development endpoints have CloudWatch logs encryption enabled. - glue [Medium]
extra712,[extra712] Check if Amazon Macie is enabled - macie [Low]
extra7120,[extra7120] Check if Glue ETL Jobs have CloudWatch Logs encryption enabled. - glue [Medium]
extra7121,[extra7121] Check if Glue development endpoints have Job bookmark encryption enabled. - glue [Medium]
extra7122,[extra7122] Check if Glue ETL Jobs have Job bookmark encryption enabled. - glue [Medium]
extra7123,[extra7123] Check if IAM users have two active access keys - iam [Medium]
extra7124,[extra7124] Check if EC2 instances are managed by Systems Manager. - ssm [Medium]
extra7125,[extra7125] Check if IAM users have Hardware MFA enabled. - iam [Medium]
extra7126,[extra7126] Check if there are CMK KMS keys not used - kms [Medium]
extra7127,[extra7127] Check if EC2 instances managed by Systems Manager are compliant with patching requirements - ssm [High]
extra7128,[extra7128] Check if DynamoDB table has encryption at rest enabled using CMK KMS - dynamodb [Medium]
extra7129,[extra7129] Check if Application Load Balancer has a WAF ACL attached - elb [Medium]
extra713,[extra713] Check if GuardDuty is enabled - guardduty [High]
extra7130,[extra7130] Ensure there are no SNS Topics unencrypted - sns [Medium]
extra7131,[extra7131] Ensure RDS instances have minor version upgrade enabled - rds [Low]
extra7132,[extra7132] Check if RDS instances has enhanced monitoring enabled - rds [Low]
extra7133,[extra7133] Check if RDS instances have multi-AZ enabled - rds [Medium]
extra7134,[extra7134] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to FTP ports 20 or 21  - ec2 [High]
extra7135,[extra7135] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Kafka port 9092  - ec2 [High]
extra7136,[extra7136] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Telnet port 23 - ec2 [High]
extra7137,[extra7137] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Windows SQL Server ports 1433 or 1434 - ec2 [High]
extra7138,[extra7138] Ensure no Network ACLs allow ingress from 0.0.0.0/0 to any port - ec2 [High]
extra7139,[extra7139] There are High severity GuardDuty findings  - guardduty [High]
extra714,[extra714] Check if CloudFront distributions have logging enabled - cloudfront [Medium]
extra7140,[extra7140] Check if there are SSM Documents set as public - ssm [High]
extra7141,[extra7141] Find secrets in SSM Documents - ssm [Critical]
extra7142,[extra7142] Check if Application Load Balancer is dropping invalid packets to prevent header based HTTP request smuggling - elb [Medium]
extra7143,[extra7143] Check if EFS have policies which allow access to everyone - efs [Critical]
extra7144,[extra7144] Check if CloudWatch has allowed cross-account sharing - cloudwatch [Medium]
extra7145,[extra7145] Check if Lambda functions have policies which allow access to any AWS account - lambda [Critical]
extra7146,[extra7146] Check if there is any unassigned Elastic IP - ec2 [Low]
extra7147,[extra7147] Check if S3 Glacier vaults have policies which allow access to everyone - glacier [Critical]
extra7148,[extra7148] Check if EFS File systems have backup enabled - efs [Medium]
extra7149,[extra7149] Check if Redshift Clusters have automated snapshots enabled - redshift [Medium]
extra715,[extra715] Check if Amazon Elasticsearch Service (ES) domains have logging enabled - es [Medium]
extra7150,[extra7150] Check if Elastic Load Balancers have deletion protection enabled - elb [Medium]
extra7151,[extra7151] Check if DynamoDB tables point-in-time recovery (PITR) is enabled - dynamodb [Medium]
extra7152,[extra7152] Enable Privacy Protection for for a Route53 Domain (us-east-1 only) - route53 [Medium]
extra7153,[extra7153] Enable Transfer Lock for a Route53 Domain (us-east-1 only) - route53 [Medium]
extra7154,[extra7154] Enable termination protection for Cloudformation Stacks - cloudformation [Medium]
extra7155,[extra7155] Check whether the Application Load Balancer is configured with defensive or strictest desync mitigation mode - elb [Medium]
extra7156,[extra7156] Checks if API Gateway V2 has Access Logging enabled - apigateway [Medium]
extra7157,[extra7157] Check if API Gateway V2 has configured authorizers - apigateway [Medium]
extra7158,[extra7158] Check if ELBV2 has listeners underneath - elb [Medium]
extra7159,[extra7159] Check if ELB has listeners underneath - elb [Medium]
extra716,[extra716] Check if Amazon Elasticsearch Service (ES) domains are set as Public or if it has open policy access - es [Critical]
extra7160,[extra7160] Check if Redshift has automatic upgrades enabled - redshift [Medium]
extra7161,[extra7161] Check if EFS protects sensitive data with encryption at rest - efs [Medium]
extra7162,[extra7162] Check if CloudWatch Log Groups have a retention policy of at least 365 days - cloudwatch [Medium]
extra7163,[extra7163] Check if Secrets Manager key rotation is enabled - secretsmanager [Medium]
extra7164,[extra7164] Check if CloudWatch log groups are protected by AWS KMS  - logs [Medium]
extra7165,[extra7165] Check if DynamoDB: DAX Clusters are encrypted at rest - dynamodb [Medium]
extra7166,[extra7166] Check if Elastic IP addresses with associations are protected by AWS Shield Advanced - shield [Medium]
extra7167,[extra7167] Check if Cloudfront distributions are protected by AWS Shield Advanced - shield [Medium]
extra7168,[extra7168] Check if Route53 hosted zones are protected by AWS Shield Advanced - shield [Medium]
extra7169,[extra7169] Check if global accelerators are protected by AWS Shield Advanced - shield [Medium]
extra717,[extra717] Check if Elastic Load Balancers have logging enabled - elb [Medium]
extra7170,[extra7170] Check if internet-facing application load balancers are protected by AWS Shield Advanced - shield [Medium]
extra7171,[extra7171] Check if classic load balancers are protected by AWS Shield Advanced - shield [Medium]
extra7172,[extra7172] Check if S3 buckets have ACLs enabled - s3 [Medium]
extra7173,[extra7173] Security Groups created by EC2 Launch Wizard - ec2 [Medium]
extra7174,[extra7174] CodeBuild Project last invoked greater than 90 days - codebuild [High]
extra7175,[extra7175] CodeBuild Project with an user controlled buildspec - codebuild [High]
extra7176,[extra7176] EMR Cluster without Public IP - emr [Medium]
extra7177,[extra7177] Publicly accessible EMR Cluster - emr [High]
extra7178,[extra7178] EMR Account Public Access Block enabled - emr [High]
extra7179,[extra7179] Check Public Lambda Function URL - lambda [High]
extra718,[extra718] Check if S3 buckets have server access logging enabled - s3 [Medium]
extra7180,[extra7180] Check Lambda Function URL CORS configuration - lambda [Medium]
extra7181,[extra7181] Directory Service monitoring with CloudWatch logs - ds [Medium]
extra7182,[extra7182] Directory Service SNS Notifications - ds [Medium]
extra7183,[extra7183] Directory Service LDAP Certificates expiration - ds [Medium]
extra7184,[extra7184] Directory Service Manual Snapshot Limit - ds [Low]
extra7185,[extra7185] Ensure no Customer Managed IAM policies allow actions that may lead into Privilege Escalation - iam [High]
extra7186,[extra7186] Check S3 Account Level Public Access Block - s3 [High]
extra7187,[extra7187] Ensure that your Amazon WorkSpaces storage volumes are encrypted in order to meet security and compliance requirements - workspaces [High]
extra7188,[extra7188] Ensure Radius server in DS is using the recommended security protocol - ds [Medium]
extra7189,[extra7189] Ensure Multi-Factor Authentication (MFA) using Radius Server is enabled in DS - ds [Medium]
extra719,[extra719] Check if Route53 public hosted zones are logging queries to CloudWatch Logs - route53 [Medium]
extra7190,[extra7190] Ensure user maximum session duration is no longer than 10 hours. - appstream [Medium]
extra7191,[extra7191] Ensure session disconnect timeout is set to 5 minutes or less. - appstream [Medium]
extra7192,[extra7192] Ensure session idle disconnect timeout is set to 10 minutes or less. - appstream [Medium]
extra7193,[extra7193] Ensure default Internet Access from your Amazon AppStream fleet streaming instances should remain unchecked. - appstream [Medium]
extra7194,[extra7194] Check if ECR repositories have lifecycle policies enabled - ecr [Low]
extra72,[extra72] Ensure there are no EBS Snapshots set as Public - ec2 [Critical]
extra720,[extra720] Check if Lambda functions invoke API operations are being recorded by CloudTrail - lambda [Low]
extra721,[extra721] Check if Redshift cluster has audit logging enabled - redshift [Medium]
extra722,[extra722] Check if API Gateway has logging enabled - apigateway [Medium]
extra723,[extra723] Check if RDS Snapshots and Cluster Snapshots are public - rds [Critical]
extra724,[extra724] Check if ACM certificates have Certificate Transparency logging enabled - acm [Medium]
extra725,[extra725] Check if S3 buckets have Object-level logging enabled in CloudTrail - s3 [Medium]
extra726,[extra726] Check Trusted Advisor for errors and warnings - trustedadvisor [Medium]
extra727,[extra727] Check if SQS queues have policy set as Public - sqs [Critical]
extra728,[extra728] Check if SQS queues have Server Side Encryption enabled - sqs [Medium]
extra729,[extra729] Ensure there are no EBS Volumes unencrypted - ec2 [Medium]
extra73,[extra73] Ensure there are no S3 buckets open to Everyone or Any AWS user - s3 [Critical]
extra730,[extra730] Check if ACM Certificates are about to expire in 7 days or less - acm [High]
extra731,[extra731] Check if SNS topics have policy set as Public - sns [Critical]
extra732,[extra732] Check if Geo restrictions are enabled in CloudFront distributions - cloudfront [Low]
extra733,[extra733] Check if there are SAML Providers then STS can be used - iam [Low]
extra734,[extra734] Check if S3 buckets have default encryption (SSE) enabled or use a bucket policy to enforce it - s3 [Medium]
extra735,[extra735] Check if RDS instances storage is encrypted - rds [Medium]
extra736,[extra736] Check exposed KMS keys - kms [Critical]
extra738,[extra738] Check if CloudFront distributions are set to HTTPS - cloudfront [Medium]
extra739,[extra739] Check if RDS instances have backup enabled - rds [Medium]
extra74,[extra74] Ensure there are no Security Groups without ingress filtering being used - ec2 [High]
extra740,[extra740] Check if EBS snapshots are encrypted - ec2 [Medium]
extra741,[extra741] Find secrets in EC2 User Data - ec2 [Critical]
extra742,[extra742] Find secrets in CloudFormation outputs - cloudformation [Critical]
extra743,[extra743] Check if API Gateway has client certificate enabled to access your backend endpoint - apigateway [Medium]
extra744,[extra744] Check if API Gateway has a WAF ACL attached - apigateway [Medium]
extra745,[extra745] Check if API Gateway endpoint is public or private - apigateway [Medium]
extra746,[extra746] Check if API Gateway has configured authorizers - apigateway [Medium]
extra747,[extra747] Check if RDS instances is integrated with CloudWatch Logs - rds [Medium]
extra748,[extra748] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to any port - ec2 [High]
extra749,[extra749] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Oracle ports 1521 or 2483 - ec2 [High]
extra75,[extra75] Ensure there are no Security Groups not being used - ec2 [Informational]
extra750,[extra750] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306 - ec2 [High]
extra751,[extra751] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Postgres port 5432 - ec2 [High]
extra752,[extra752] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Redis port 6379 - ec2 [High]
extra753,[extra753] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to MongoDB ports 27017 and 27018 - ec2 [High]
extra754,[extra754] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Cassandra ports 7199 or 9160 or 8888 - ec2 [High]
extra755,[extra755] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Memcached port 11211 - ec2 [High]
extra757,[extra757] Check EC2 Instances older than 6 months - ec2 [Medium]
extra758,[extra758] Check EC2 Instances older than 12 months  - ec2 [Medium]
extra759,[extra759] Find secrets in Lambda functions variables  - lambda [Critical]
extra76,[extra76] Ensure there are no EC2 AMIs set as Public - ec2 [Critical]
extra760,[extra760] Find secrets in Lambda functions code  - lambda [Critical]
extra761,[extra761] Check if EBS Default Encryption is activated  - ec2 [Medium]
extra762,[extra762] Find obsolete Lambda runtimes  - lambda [Medium]
extra763,[extra763] Check if S3 buckets have object versioning enabled  - s3 [Medium]
extra764,[extra764] Check if S3 buckets have secure transport policy  - s3 [Medium]
extra765,[extra765] Check if ECR image scan on push is enabled  - ecr [Medium]
extra767,[extra767] Check if CloudFront distributions have Field Level Encryption enabled  - cloudfront [Low]
extra768,[extra768] Find secrets in ECS task definitions environment variables  - ecs [Critical]
extra769,[extra769] Check if IAM Access Analyzer is enabled and its findings  - accessanalyzer [High]
extra77,[extra77] Ensure there are no ECR repositories set as Public - ecr [Critical]
extra770,[extra770] Check for internet facing EC2 instances with Instance Profiles attached  - ec2 [Medium]
extra771,[extra771] Check if S3 buckets have policies which allow WRITE access  - s3 [Critical]
extra772,[extra772] Check if elastic IPs are unused  - ec2 [Low]
extra773,[extra773] Check if CloudFront distributions are using WAF  - cloudfront [Medium]
extra774,[extra774] Ensure credentials unused for 30 days or greater are disabled - iam [Medium]
extra775,[extra775] Find secrets in EC2 Auto Scaling Launch Configuration  - autoscaling [Critical]
extra776,[extra776] Check if ECR image scan found vulnerabilities in the newest image version - ecr [Medium]
extra777,[extra777] Find VPC security groups with more than 50 ingress or egress rules  - ec2 [Medium]
extra778,[extra778] Find VPC security groups with wide-open public IPv4 CIDR ranges (non-RFC1918)  - ec2 [Medium]
extra779,[extra779] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Elasticsearch/Kibana ports - ec2 [High]
extra78,[extra78] Ensure there are no Public Accessible RDS instances - rds [Critical]
extra780,[extra780] Check if Amazon OpenSearch Service domains (formerly known as Elasticsearch or ES) has either Amazon Cognito authentication or SAML authentication for Kibana enabled - es [High]
extra781,[extra781] Check if Amazon Elasticsearch Service (ES) domains has encryption at-rest enabled - es [Medium]
extra782,[extra782] Check if Amazon Elasticsearch Service (ES) domains has node-to-node encryption enabled - es [Medium]
extra783,[extra783] Check if Amazon Elasticsearch Service (ES) domains has enforce HTTPS enabled - es [Medium]
extra784,[extra784] Check if Amazon Elasticsearch Service (ES) domains internal user database enabled - es [Medium]
extra785,[extra785] Check if Amazon Elasticsearch Service (ES) domains have updates available - es [Low]
extra786,[extra786] Check if EC2 Instance Metadata Service Version 2 (IMDSv2) is Enabled and Required  - ec2 [Medium]
extra787,[extra787] Check connection and authentication for Internet exposed Elasticsearch/Kibana ports - es [Critical]
extra788,[extra788] Check connection and authentication for Internet exposed Amazon Elasticsearch Service (ES) domains - es [Critical]
extra789,[extra789] Find trust boundaries in VPC endpoint services connections - vpc [Medium]
extra79,[extra79] Check for internet facing Elastic Load Balancers - elb [Medium]
extra790,[extra790] Find trust boundaries in VPC endpoint services allowlisted principles - vpc [Medium]
extra791,[extra791] Check if CloudFront distributions are using deprecated SSL protocols - cloudfront [Medium]
extra792,[extra792] Check if Elastic Load Balancers have insecure SSL ciphers  - elb [Medium]
extra793,[extra793] Check if Elastic Load Balancers have SSL listeners  - elb [Medium]
extra794,[extra794] Ensure EKS Control Plane Audit Logging is enabled for all log types - eks [Medium]
extra795,[extra795] Ensure EKS Clusters are created with Private Endpoint Enabled and Public Access Disabled - eks [High]
extra796,[extra796] Restrict Access to the EKS Control Plane Endpoint - eks [High]
extra797,[extra797] Ensure Kubernetes Secrets are encrypted using Customer Master Keys (CMKs) - eks [Medium]
extra798,[extra798] Check if Lambda functions have resource-based policy set as Public - lambda [Critical]
extra799,[extra799] Check if Security Hub is enabled and its standard subscriptions - securityhub [High]
